City,Latitude,Longitude,"The absolute minimum, °C","The temperature of the coldest month, °C","The average annual temperature, °C","The temperature of the warmest month, °C","The absolute maximum, °C","The average annual precipitation, mm"
Абакан,53.7175644,91.4293172,−38.0,−17.5,3,25,45,323
Алдан,58.6057234,125.3961002,−48.7,−26.3,−5.5,16.6,35.2,718
Александров Гай,50.1437707,48.5494505,−39.9,−8.7,7.4,24.2,43.8,329
Александровск-Сахалинский,50.9079229,142.1746356,−41.0,−16.3,0.9,16.6,32.6,679
Анадырь,64.7336613,177.4968265,−46.8,−22.6,−6.9,11.6,30,384
Анапа,44.8857008,37.3199192,−23.9,2.4,12.2,23.2,38.2,564
Архангельск,64.5472507,40.5601553,−45.2,−12.8,1.3,16.3,34.4,607
Астрахань,46.3588045,48.0599345,−37.7,−3.7,10.5,25.6,41,233
Бор,56.3588296,44.0766797,−56.0,−23.6,−3.1,18.2,36.1,595
Брянск,53.2635306,34.41611,−35.0,−6.1,6.1,19,38.4,671